tablename,colsname,comments,type,compareFlag,1,2
af_pay_order,gmt_create,创建时间,,D,today,today
,gmt_modified,修改时间,,D,today,today
,order_id,订单号,,C,,
,order_sub_type,是否与金融网关相关,,Y,NP,NP
,tnt_inst_id,租户ID,,C,test1234,test1234
,request_id,请求ID,,A,,
,pd_code,产品码,,Y,by_test,sjh_pd_1
,pd_event_code,产品事件码,,Y,00000000,pdEventCode21
,ip_id,参与者ID,,Y,201412051000123456789000120,123
,pd_seq_no,上层业务流水号,,Y,201412051280,334222dds
,delivery_date,上游业务投递日期,,D,today,today
,amount,金额,,Y,,100
,currency,币种,,Y,156,156
,status,单据状态,,Y,,REVERSED
,business_source_stm,来源系统,,Y,bySystem,paycore
,memo,备注,,Y,支付请求,支付请求
,order_ext,单据扩展大字段,,Y,null,null
,error_code,系统内部错误码,,Y,null,null
,inst_error_code,外部机构错误码,,Y,null,null
,cmpt_error_code,下游系统错误码,,Y,null,null
,event_cntxt,事件上下文,,A,,
,pre_charge_no,预计费单号,,Y,null,null
,charge_amount,收费金额,,Y,null,null
,charge_currency,收费币种,,Y,null,null
,post_in_date,交割日期,,D,today,today
,biz_cntxt_id,统一上下文id,,Y,testContextUUID,testContextUUID
,fail_status,,,Y,null,null
,origin_biz_no,,,Y,,
,partner_biz_no,,,Y,,
,partner_request_id,,,Y,,
,service_type,,,Y,PAY,PAY
,source_order_id,,,Y,,
,system_tx_id,,,Y,,
,action_id,,,Y,,
,gmt_exchange,,,D,today,today
,tx_id,,,Y,,
,xtrans_status,,,Y,,
,refund_success_amt,,,Y,,
,refund_success_amt_ccy,,,Y,,
,refund_apply_amt,,,Y,,
,refund_apply_amt_ccy,,,Y,,
,ip_role_id,客户角色id,,Y,,
